frame_id,est_x,est_y,gt_x,gt_y,track_state,n_candidates,n_matches,n_inliers,inlier_ratio,h_scale,ms
1,2287.0222,3739.9659,2111.0000,3654.0000,1,0,213,184,0.8638,0.7005,236.6
2,2283.2404,3733.8772,2111.0000,3654.0000,1,0,218,185,0.8486,0.7004,209.9
3,2279.3700,3727.6298,2111.0000,3654.0000,1,0,212,182,0.8585,0.6882,161.1
4,2275.5390,3721.0852,2111.0000,3654.0000,1,0,226,195,0.8628,0.6886,122.9
5,2271.8605,3715.1277,2111.0000,3654.0000,1,0,224,200,0.8929,0.6916,130.7
6,2268.1650,3708.6848,2111.0000,3654.0000,1,0,243,208,0.8560,0.6800,116.2
7,2264.9802,3702.9125,2111.0000,3654.0000,1,0,224,194,0.8661,0.6738,108.3
8,2259.8664,3695.4585,2111.0000,3654.0000,1,0,237,196,0.8270,0.6752,129.3
9,2256.1189,3690.0014,2111.0000,3654.0000,1,0,247,209,0.8462,0.6796,129.3
10,2252.4748,3683.7359,2111.0000,3654.0000,1,0,257,219,0.8521,0.6760,129.2
11,2248.6224,3677.4386,2111.0000,3654.0000,1,0,254,218,0.8583,0.6667,138.2
12,2244.5918,3671.2389,2111.0000,3654.0000,1,0,272,226,0.8309,0.6735,147.4
13,2240.6966,3665.1186,2111.0000,3654.0000,1,0,280,241,0.8607,0.6691,139.3
14,2236.9524,3658.5333,2111.0000,3654.0000,1,0,281,238,0.8470,0.6516,136.4
15,2232.9390,3652.5625,2111.0000,3654.0000,1,0,293,253,0.8635,0.6595,131.8
16,2229.0822,3646.1174,2111.0000,3654.0000,1,0,299,246,0.8227,0.6459,137.2
17,2224.7233,3639.9268,2111.0000,3654.0000,1,0,302,251,0.8311,0.6594,135.3
18,2220.7578,3633.6682,2111.0000,3654.0000,1,0,313,263,0.8403,0.6591,137.1
19,2217.3189,3627.4930,2111.0000,3654.0000,1,0,310,254,0.8194,0.6438,134.6
20,2213.0842,3621.2097,2111.0000,3654.0000,1,0,311,264,0.8489,0.6516,153.1
21,2209.0577,3614.9799,2111.0000,3654.0000,1,0,309,264,0.8544,0.6537,150.6
22,2205.0931,3608.4259,2111.0000,3654.0000,1,0,299,254,0.8495,0.6469,131.2
23,2201.1634,3602.3169,2111.0000,3654.0000,1,0,299,254,0.8495,0.6466,132.8
24,2197.0327,3596.0885,2111.0000,3654.0000,1,0,307,254,0.8274,0.6520,137.0
25,2193.3047,3589.8742,2109.7948,3652.3901,1,0,319,260,0.8150,0.6440,138.0
26,2189.0688,3583.7447,2105.3329,3646.4297,1,0,318,258,0.8113,0.6484,129.8
27,2185.2950,3577.3563,2100.9127,3640.5252,1,0,334,270,0.8084,0.6359,145.2
28,2181.2163,3571.1242,2096.4580,3634.5745,1,0,338,278,0.8225,0.6405,135.8
29,2177.2884,3564.8782,2092.0508,3628.6873,1,0,355,289,0.8141,0.6341,164.6
